source_id,l,b,parallax,dist_pc,ruwe,phot_g_mean_mag,distance_gspphot
1705249252287120384,109.24637115309837,31.265800770870605,18.937076718964423,52.80646083027989,1.2046555,11.871302,52.8389
1705272101513152000,109.63451481183375,31.16981550160482,7.611049915118585,131.38791771863177,5.7612944,12.440956,137.6592
1705310618779964544,109.88415801718936,30.269837144119627,4.478814528222891,223.27336702571185,2.5621312,12.7060795,224.8663
1705378578046167552,109.96979456379032,29.29287465797078,10.060652638682926,99.3971301777211,0.94053185,11.516356,99.028
1705579105775489152,110.59724028028626,30.278390346854973,25.519762754511547,39.18531726252877,1.2234718,11.881125,--
1705862912918333696,110.58037516619,32.97010163804638,21.835601027732007,45.79677008798446,1.0659175,11.727675,--
1705884151533269376,110.13839971441837,32.40082111947527,43.234376930197676,23.129742371782292,1.2725006,11.596392,23.1462
1706140883201724672,111.42648589571408,32.4771873352177,10.643463489327921,93.95437876051236,2.6619267,12.500146,93.9149
1706625943925314432,111.74976240900098,30.48987879290056,16.604779790150562,60.22362311562655,1.1866155,12.6194,--
1706829353575723264,112.47656303724015,29.396818893003026,10.531466375453554,94.95353869531141,1.7269565,12.982137,94.8071
1707413572207510912,112.89454006902307,35.61591437783226,20.19543863894723,49.516131730433614,1.4257755,12.3261175,--
1708037781277667712,113.13305272004179,36.39682726240614,15.017687572383123,66.58814782103715,1.3584639,12.715752,67.0171
1708297304677763840,114.60300594393483,36.82300813839649,16.11758884735275,62.044019702379124,1.5671595,12.779324,--
1708693055848054912,114.16780661444203,34.21117742975793,48.16003145330838,20.764106040285913,9.442295,13.02594,--
1709061224740004096,114.86576028454579,33.56468192955085,19.558025908146277,51.129904658909446,1.3138947,12.168614,--
1710330542195690496,114.10435694112238,32.99881233887131,26.106065600118836,38.305274158027395,1.2533934,13.0370655,--
1710748322254445824,115.13881373720726,31.497139391431872,21.725386247458516,46.02910109904178,1.6923612,12.8843565,46.0261
1710948192852697600,114.38421957742624,29.579160842347594,77.73520905912606,12.864183580433822,1.2326161,12.652918,--
1711291480998721280,115.82284237990837,28.4288695657104,20.39082144063108,49.04167313276472,5.9953537,12.96893,--
1712523999173578496,118.89063479251983,42.335153956069355,37.55019078537282,26.631023147545147,1.3033814,12.722284,26.6501
1714465049513690624,116.49793291016783,38.23394445634694,30.898475867117725,32.36405589390912,1.2362144,12.958463,--
1714831771000745344,118.68894859340715,38.99213630742811,75.48029395151548,13.248491064997001,1.2017127,11.540056,13.2476
1717618895538895360,123.82523555723648,38.08237305980739,28.67242332757454,34.87671720577209,1.3644844,12.541218,34.9029
1720386984780855680,115.22289601232568,36.38349830396774,12.300101687214946,81.30014087927637,5.0556097,12.826358,--
1722544810710552704,118.75418577388247,32.612672179401095,27.502965506108794,36.359715456061856,1.4183048,13.34745,36.3923
1723340135574207360,116.14078588715316,29.064623724499256,16.62885862995274,60.136418394871036,11.174782,12.885932,--
1723529453436995456,117.03605611460549,29.784623073753185,15.176924609742377,65.88950170827624,7.077309,12.2623825,--
1723938922734890752,117.46833845822263,30.65458069529674,14.990381891671982,66.70944124215791,11.498767,12.951591,--
1724394666013924736,118.09340873652631,30.06792559562878,43.860433708939844,22.7995921480406,1.1480967,11.939972,22.8588
1724494760222303872,117.97702041196405,28.379973233187073,45.25515643057084,22.096929474416275,24.418808,11.044,--
1726432615107139840,123.40554958141556,32.78362175601102,38.26385801099906,26.13432236008578,1.38134,12.5762005,--
1727159083055610368,119.50596514319523,31.581704615606355,36.01742456434307,27.764339402267847,1.241518,12.918429,--
1727215050772784512,119.95265793324734,31.50816119411965,15.908693521412886,62.85871298318832,17.099382,13.062131,66.3544
1728340194765063168,122.12111651492175,30.77977165226553,22.946406176731823,43.579809068926124,1.1492836,13.202199,43.6842
1728594632924072832,122.77566913853204,30.008896399442555,31.011042397257956,32.24657807982687,1.5621256,12.994591,32.3244
1773497412196823680,71.68682925593451,-26.628467901940624,58.60522000455171,17.06332643956174,1.1605061,13.279959,17.0409
1810616448010879488,60.08962036734447,-15.741769806334151,104.91901080176949,9.53116115333347,1.1224744,11.837387,--
1825387390297688832,54.46670506973071,0.09853062253206066,42.454992305986686,23.55435593516731,2.9293332,13.555852,--
1862034696988864896,70.78810555237871,-3.248828044601058,53.25627551510025,18.77712983733646,1.1881781,13.028171,18.729
1877530526652674304,88.59235839763585,-28.65730767008633,32.93662250752732,30.36134016994185,1.2234794,12.559699,30.3704
1907836193852827392,94.83724506084592,-16.446369320087282,18.93580759478293,52.81000004855951,1.1935352,11.651915,--
1934862945577481344,102.94712488453021,-14.981162956891374,77.47651875907843,12.907136459107146,1.2575263,12.392412,--
1952802469918554368,87.51245654559457,-11.612406769066672,141.89460573855888,7.047484256325446,1.1928823,10.830858,--
1958030617647715328,93.13898251925193,-12.434121340187174,78.87621795397256,12.678092661384198,1.1623595,13.217788,12.6801
1988592986456983168,103.89271014426635,-8.376690033951247,34.22646119893385,29.21716020209387,1.2466812,12.93946,--
2001345397199713152,101.31380595827322,-4.607115686452587,63.772676763563645,15.680696667437793,1.2209809,13.330946,--
2005804153064109056,101.6532075240874,-1.6545384792277344,45.62526269464586,21.91768202394044,1.2321562,12.732375,21.91
2009322762071474816,110.94741791390148,-3.7873917494297604,31.89626937891901,31.35162887296542,1.181362,12.120598,--
2012619720701400192,114.84158386102916,-0.7704658057978957,55.42242838307584,18.043236811784425,1.2236209,12.202946,--
2014653404891943936,109.21172945045805,1.281734999325527,56.12258275798064,17.818139345303027,1.109907,11.599415,17.8081
2021622006520612480,61.27263563710741,1.0130918739335775,22.48336052036401,44.4773368773882,10.972447,13.199776,--
2029432043779954432,67.36408656002325,-0.659293071230273,62.526909039037186,15.993114250628858,1.1409067,12.779391,--
2038120006709791360,61.789045178685235,7.006126574126681,44.85266103077558,22.295221220293968,1.171225,13.120114,--
2045458628362127360,67.55097738318918,5.568947892915813,56.18875373663919,17.797155720646046,1.0385094,12.570746,17.8418
2047690533883897856,70.94629192430482,5.1262709845734955,74.38552746556688,13.443475284394545,1.1539586,11.800824,13.4472
2051425982875376896,69.41129641300553,8.320198698008866,24.948264508495253,40.08294844154331,1.358463,12.684928,--
2063967910147595008,78.64775790824906,-1.2328674476545085,61.13193308477585,16.358062792047345,1.22198,12.111444,16.3218
2064100569188230144,77.80419248822237,-0.5620792425054012,64.93554533931663,15.399886068170561,34.272625,12.146215,--
2066768499405895296,83.93819878309509,-0.9336049422529168,60.01903466448856,16.661380936732552,1.305153,11.908527,16.6725
2066994831304423424,83.42267140273194,0.563136027186102,23.82030306289106,41.98099400162,1.1993213,13.1878,--
2074971100978405248,78.48071391986637,5.481737820837122,27.602815981834432,36.22818775657185,1.0917895,13.293354,36.1742
2078447035186691200,76.95446761496264,7.526436974642609,39.2226828874005,25.495451264024314,1.0978999,12.555851,25.4587
2079073928612821760,78.85872507841353,8.505696390567548,214.5745030256979,4.660385954058287,1.6106331,11.908311,--
2080285727861817088,80.44178891060308,9.94993171161996,83.49395957331558,11.976914319435355,0.9934534,11.543919,--
2085942027994517120,82.76210903105971,8.758585965480657,35.67718375164683,28.029118188283032,1.178743,13.171928,27.9203
2087321090449486208,84.14556932423571,11.49585444035275,32.53008192354855,30.740777178187777,1.3517417,12.640002,--
2087829335401794176,84.54939263285624,10.274268753251967,20.05325002178936,49.86722844992333,1.0838543,12.841349,--
2087981072303466112,85.74953155477058,10.375615613389602,34.959456179767415,28.604563951390762,1.4696528,12.304346,--
2089355702357960448,87.35496760999413,11.145279133597741,46.97406218250321,21.288344110305147,1.3760912,11.934424,--
2094078070437358336,68.15246072991533,14.944330100297876,14.188284010276769,70.48068669020766,0.9740336,12.154498,70.6652
2096535783864546944,65.83324694414694,17.015462737520807,29.975562321904633,33.36050844554967,1.2774931,12.946228,33.335
2098413719661573248,68.68874014721543,18.7001512401037,80.10420284070563,12.483739486036574,1.17191,12.17612,--
2101964248869296384,74.7133613467712,12.419720143523149,41.74531993699272,23.954781075084,1.1359575,12.2453,--
2105033123258653056,72.8679685239184,17.495600454362453,52.0409353900336,19.215642311293095,1.2172388,12.833284,--
