source_id,l,b,dist_pc,distance_gspphot,parallax,ra,dec,phot_g_mean_mag
1632407706459733120,95.80852161576664,35.45174963627583,53.004150314901366,--,18.866447137798268,256.30445741249883,65.46905469963102,12.965755
1632905716506747008,95.06365796084039,33.265676925463,65.72108467182069,--,15.215817039440484,261.7190637529722,65.2256489995455,11.441512
1632980826895970048,94.94501066983293,32.96120790218494,64.19064027244161,--,15.578595193251578,262.46697217674364,65.16149495296177,12.861511
1633085830256185856,95.76284558430764,32.33375401195281,84.61011011606963,84.285,11.818918550373974,263.80753075205297,65.90966522935742,12.303957
1633694135064146816,95.22958792360137,33.93942525948583,65.35350735613088,--,15.301397590655693,260.0800895678022,65.27253156544549,10.947592
1634035357328826496,96.41421786392388,34.05883896886649,73.75036656738796,74.2852,13.55925463890772,259.4145418984181,66.22336677081044,12.562919
1634823058627338880,94.67925719673357,38.0680599700532,85.89919270641349,85.1698,11.641552947043436,250.89530649357937,63.94274391807064,11.4469795
1636502150321718784,97.57744265119324,36.312239270756585,67.23498430336882,67.2859,14.873209391823936,253.38798897019024,66.65011113381337,12.406524
1636757237019046528,99.09708114888276,34.37934219394579,54.643439569730155,54.2393,18.300458533982038,257.4664194480996,68.33498297631695,11.109678
1636857150842496000,99.04826025174289,36.05601393558123,75.7286948448826,75.1582,13.205034129378971,253.15233623986336,67.8611461124263,12.476337
1637129421705453952,97.2521967743743,34.194724947676576,29.678080433148864,--,33.69490160431846,258.76756478607507,66.88168965963261,12.892283
1637198450420211072,98.22855696428684,33.303610437272624,43.770652989178345,--,22.84635781529774,260.67249989511805,67.83859769911767,12.544036
1637374337920392192,98.35408923613525,33.83236170484079,39.717083122984874,--,25.178082612549282,259.24350618539484,67.84708536853027,13.148987
1637560086665777664,99.00358278456108,32.81071268348451,80.3761982874572,80.0782,12.441494140138389,261.69869232934747,68.55948407566166,12.565766
1637645127018395776,98.59590866887073,31.96614548794264,4.549802251285675,4.549,219.78977211974913,264.1040525731971,68.3334976375916,8.02864
1638157087120207616,100.8730381274546,30.112221541439055,47.043087856308,--,21.257108016686242,268.8710793798805,70.43937080079363,11.3006735
1639285770165869696,102.63819599031297,29.809162621329676,49.32357607619121,49.2961,20.27428016280243,269.5246400752812,71.984116765452,10.439156
1639464406445868800,95.43061746157622,45.41755576143847,27.570634185779905,27.6221,36.27047507364809,235.6633270705669,61.50894962594312,12.950393
1640580891783937664,97.79702455910501,45.417602556249236,30.0637195034495,29.9319,33.262683943191405,233.76500986630998,62.9147309108325,13.011148
1641706654252287488,97.04760047204579,41.511333374639385,59.224775893792476,59.4883,16.884825394583096,242.01093646311833,64.39528604944408,11.729176
1641735516432426752,97.55484931009114,41.379849499958866,41.922871556896176,--,23.85332785810812,241.894822581674,64.79450751708897,13.160008
1641792072561731712,97.83899257317549,41.65165109838315,39.969214454779795,--,25.01925578575921,241.09872496884134,64.86149452665819,11.9087925
1642641410934267008,99.90196270767545,39.47193065196246,10.766974101400352,10.768,92.87660493860945,244.17238993246437,67.2392157683359,7.9017744
