TIC_ID,Teff,Tmag,r_est,Obs,a_RV,a_EA,a_EM,Per_RV,Per_EA,Per_EM,Elat,Glat,Gaia_ID,RA,Dec,asep_RV,asep_EA,asep_EM,Ttime,TWOMASS,HZ_flag,JWST_flag,Earth_flag,S1_flag,S2_flag,S3_flag,S4_flag,S5_flag,S6_flag,
21282990,3968,10.8,57.65271635,171.612,0.233,0.29,0.61,50.35,70.03,213.23,76.0415,24.5991,2145788475947885824,277.3044,53.0706,4.04,5.03,10.58,0.97,18291306+5304144,0,0,0,0,0,0,0,0,0,
255633870,3730,11.51,57.57932807,103.545,0.171,0.212,0.46,35.09,48.31,154.34,-73.7175,-23.6374,5502684581781427456,98.0011,-50.7862,2.97,3.68,7.99,0.462,06320026-5047102,0,0,0,1,1,1,0,1,1,
219194614,3709,11.31,57.54329603,188.109,0.166,0.205,0.446,33.79,46.48,149.14,-76.4204,-27.6153,5548648600228817792,92.1741,-53.0232,2.88,3.56,7.75,0.425,06084178-5301234,0,0,0,1,1,1,1,1,1,
376867808,3521,11.76,57.48926602,317.439,0.108,0.133,0.297,21.15,28.89,96.63,86.656,27.5188,2259080577822638720,276.2968,68.9081,1.88,2.31,5.17,0.141,18251121+6854290,1,1,0,0,0,0,0,0,0,
235902496,3639,11.44,57.28721638,87.318,0.115,0.142,0.312,23.21,31.85,103.75,73.0512,26.1392,2301725892219917696,289.1855,82.9697,2.01,2.48,5.45,0.152,19164452+8258106,0,0,0,0,0,0,0,0,0,
349976424,3938,10.93,57.24209904,186.516,0.225,0.281,0.592,48.41,67.23,205.9,76.3902,16.8936,2246688978699232256,305.1787,67.3428,3.93,4.91,10.34,0.904,20204289+6720340,0,0,0,0,0,0,0,0,0,
315813656,3236,11.79,57.21415931,67.041,0.065,0.08,0.188,12.57,17.03,61.08,68.8234,8.6851,2192417084754186368,316.1425,60.0275,1.14,1.4,3.29,0.04,21043420+6001390,0,0,0,0,0,0,0,0,0,
198358234,3558,11.43,57.05627087,340.74,0.129,0.159,0.353,25.52,34.9,115.78,79.1146,36.6888,1433515875583067904,256.3868,57.6694,2.26,2.79,6.19,0.384,17053282+5740096,1,0,0,0,0,0,0,0,0,
270674368,3598,11.89,56.86748759,80.676,0.139,0.171,0.378,27.65,37.87,124.51,-72.057,-29.8684,4794618815983490560,87.5063,-48.664,2.44,3.01,6.65,0.271,05500151-4839505,0,0,0,0,0,1,1,1,0,
167306154,3464,11.62,56.81709879,316.548,0.108,0.133,0.3,21.14,28.83,97.72,-86.7478,-26.6128,5283353345142945664,98.1876,-66.9485,1.9,2.34,5.28,0.15,06324503-6656547,1,1,0,1,1,1,1,1,1,
349194688,4420,9.67,56.78780385,337.257,0.358,0.453,0.902,93.84,133.41,374.73,-81.8732,-21.7569,5282665634977550336,108.787549,-64.229263,6.3,7.98,15.88,3.099,07150901-6413453,0,0,1,1,1,1,1,1,1,
366579153,3673,11.68,56.69001807,197.694,0.159,0.197,0.43,31.51,43.28,139.97,76.6248,19.9653,2275918219716176000,304.6382,73.2471,2.8,3.48,7.59,0.382,20183316+7314494,0,0,0,0,0,0,0,0,0,
387877168,3839,11.44,56.55816318,85.941,0.143,0.178,0.38,29.87,41.3,129.01,72.9955,14.8902,2270755978264803072,315.9168,69.4884,2.53,3.15,6.72,0.253,21034004+6929181,0,0,0,0,0,0,0,0,0,
350298298,3744,11.18,56.42103375,336.663,0.193,0.239,0.517,41.27,56.84,181.06,-82.1914,-32.812,4759870675132703616,83.609188,-59.303612,3.42,4.24,9.16,0.717,05342620-5918130,0,0,0,1,1,1,1,1,1,
382160308,3846,10.77,56.25297084,338.553,0.201,0.25,0.534,42.26,58.46,182.33,-80.9905,-34.2273,4763140171741480064,80.9213,-58.5581,3.57,4.44,9.49,0.68,05233992-5833053,0,0,0,0,1,0,1,1,0,
271596225,3704,11.66,56.19273197,339.849,0.165,0.204,0.444,33.55,46.14,148.22,-79.9554,-24.591,5262540590756812032,108.5617,-74.6025,2.94,3.63,7.9,0.424,07141480-7436089,1,0,0,1,1,1,1,1,1,
233181327,3635,11.7,56.16852799,72.792,0.118,0.146,0.32,23.68,32.49,105.93,70.3575,47.0215,1670356422578282880,218.5881,67.1427,2.1,2.6,5.7,0.163,14342120+6708334,0,0,0,0,0,0,0,0,0,
353991354,4749,9.5,56.10266861,334.449,0.408,0.522,1.003,108.86,157.52,420.16,83.2214,28.334,2158450554932751104,272.51418,59.875995,7.27,9.3,17.88,2.917,18100340+5952335,0,0,1,0,0,0,0,0,0,
461512872,3510,11.73,56.07864901,65.286,0.118,0.145,0.326,23.21,31.69,106.27,68.293,22.8109,2300475953657761536,335.2301,84.6049,2.1,2.59,5.81,0.183,22205520+8436177,0,0,0,0,1,0,0,0,0,
300243718,3767,10.29,55.89670496,336.555,0.198,0.245,0.529,42.64,58.79,186.38,-82.2482,-22.7068,5268733998020031872,109.701841,-68.634017,3.54,4.38,9.46,1.417,07184844-6838024,0,0,0,1,1,1,1,1,1,
377289837,3792,11.04,55.82535795,185.787,0.187,0.232,0.499,38.82,53.58,168.98,76.3855,20.0436,2141202550387897216,286.5956,55.4616,3.35,4.16,8.94,0.575,19062295+5527415,0,0,0,0,0,0,0,0,0,
308147525,3815,11.16,55.77348673,132.192,0.193,0.24,0.514,40.3,55.67,174.75,-74.8658,-16.0017,5271515801094390912,130.0198,-68.5323,3.46,4.3,9.22,0.626,08400475-6831563,0,0,0,1,1,0,1,1,0,
198388218,4651,9.67,55.67304484,340.74,0.357,0.455,0.884,92.33,132.88,359.74,79.0628,35.8427,1433060475906794112,258.062042,57.136873,6.41,8.17,15.88,2.175,17121489+5708126,0,0,1,0,0,0,0,0,0,
162596988,3460,11.94,55.54145823,63.288,0.107,0.132,0.298,20.96,28.57,96.94,67.6651,44.7155,1411145147580868224,245.0242,48.3139,1.93,2.38,5.37,0.142,16200580+4818503,0,0,0,0,0,0,0,0,0,
424730909,4726,9.37,55.49994499,334.962,0.403,0.515,0.993,109.9,158.82,425.09,83.0484,36.3136,1631237512552820992,255.273759,63.417681,7.26,9.28,17.89,3.216,17010569+6325037,0,0,1,0,0,0,0,0,0,
356371134,3394,11.92,55.48002949,82.485,0.094,0.115,0.262,18.1,24.62,84.88,72.3919,28.9985,1363409369224902016,268.9111,48.9615,1.69,2.07,4.72,0.101,17553866+4857414,0,0,0,0,0,0,0,0,0,
260354344,4374,9.85,55.37415243,341.037,0.344,0.434,0.868,88.99,126.21,357.26,-78.7018,-26.359,5496488387082351104,95.09138,-55.525338,6.21,7.84,15.68,2.404,06202193-5531312,0,0,1,1,1,1,1,1,1,
176933645,3693,11.6,55.37403653,323.163,0.162,0.2,0.436,32.88,45.2,145.54,-85.9852,-25.855,5280453353161978240,100.1369,-66.9351,2.93,3.61,7.87,0.401,06403284-6656066,1,1,0,0,0,0,0,0,1,
25115881,3866,11.55,55.35774483,341.037,0.207,0.257,0.546,43.56,60.31,187.36,-78.8046,-40.366,4668388799440441984,61.1303,-67.5465,3.74,4.64,9.86,0.73,04043126-6732471,0,0,0,1,1,1,1,1,1,
150031443,3599,11.46,55.35506843,317.25,0.139,0.171,0.378,27.67,37.91,124.59,-86.6873,-29.3286,5477884856501526784,90.9571,-63.2729,2.51,3.09,6.83,0.271,06034968-6316219,1,1,0,0,1,1,0,1,1,
441713969,3082,11.96,55.29678316,48.87,0.092,0.112,0.269,15.5,20.91,78.21,61.2307,58.5223,1605107966612306176,217.6731,52.6076,1.66,2.03,4.86,0.116,14304154+5236275,0,0,0,0,0,0,0,0,0,
220408233,3592,11.05,55.20417668,341.037,0.159,0.196,0.433,32.46,44.45,146.31,-78.7358,-39.4257,4773918065752949632,70.442391,-59.487278,2.88,3.55,7.84,0.741,04414617-5929142,1,0,0,1,1,1,1,1,1,
422355010,3776,11.89,54.9080196,170.289,0.104,0.129,0.279,22.62,31.2,98.72,76.0001,16.9,2247144348312276096,306.7848,68.3552,1.89,2.35,5.08,0.11,20270835+6821188,0,0,0,0,0,0,0,0,0,
461840345,3375,11.83,54.88488538,60.507,0.09,0.11,0.253,17.41,23.66,81.95,-66.689,-34.4908,4800378332768117248,79.9057,-43.9007,1.64,2.0,4.61,0.092,05193736-4354024,0,0,0,0,0,0,0,0,0,
