source_id,l,b,parallax,dist_pc,ruwe,phot_g_mean_mag
1669449084967071872,106.72342820683782,47.431367419566385,91.47905102923112,10.931464512902098,1.125203,9.854037
1701602958196086528,114.96758798973572,40.10209341167931,69.035076472839,14.485389907454332,1.3174919,12.767264
1710948192852697600,114.38421957742624,29.579160842347594,77.73520905912606,12.864183580433822,1.2326161,12.652918
1714831771000745344,118.68894859340715,38.99213630742811,75.48029395151548,13.248491064997001,1.2017127,11.540056
1810616448010879488,60.08962036734447,-15.741769806334151,104.91901080176949,9.53116115333347,1.1224744,11.837387
1934862945577481344,102.94712488453021,-14.981162956891374,77.47651875907843,12.907136459107146,1.2575263,12.392412
1952802469918554368,87.51245654559457,-11.612406769066672,141.89460573855888,7.047484256325446,1.1928823,10.830858
1958030617647715328,93.13898251925193,-12.434121340187174,78.87621795397256,12.678092661384198,1.1623595,13.217788
2047690533883897856,70.94629192430482,5.1262709845734955,74.38552746556688,13.443475284394545,1.1539586,11.800824
2064100569188230144,77.80419248822237,-0.5620792425054012,64.93554533931663,15.399886068170561,34.272625,12.146215
2079073928612821760,78.85872507841353,8.505696390567548,214.5745030256979,4.660385954058287,1.6106331,11.908311
2080285727861817088,80.44178891060308,9.94993171161996,83.49395957331558,11.976914319435355,0.9934534,11.543919
2098413719661573248,68.68874014721543,18.7001512401037,80.10420284070563,12.483739486036574,1.17191,12.17612
2109049433075667584,66.18029147857312,22.72316023003363,87.98137675447622,11.366041733930052,1.1135117,12.178306
2110165780975185792,68.63073568878416,20.106611535135794,91.79954384973269,10.893300315706437,1.1090443,10.168245
2110336583235233536,69.02904880722352,20.764589687003678,73.70815012974893,13.567020719414252,1.1523582,10.809602
2161121135533953536,93.74120126955633,29.537958211299234,128.30565976722806,7.793888452108804,1.4476835,11.758081
2188318517720321664,93.74420921511421,11.703825709960824,104.44145826068146,9.574741837710102,1.4186227,12.352267
2246206567973292160,99.93790340242835,15.057592498671609,123.65465984021166,8.087038541792234,1.0511156,9.43527
2257597439718033536,96.04657215773936,27.898124012250094,130.8530774537263,7.642158820098296,1.2865149,11.911708
2289304297045379456,107.22888761216316,24.19543481193873,94.06735403613871,10.630680646293303,1.1356933,13.380432
2302668860880387072,116.52680677132447,26.355643425343214,70.14074610655817,14.257048228155359,1.1990459,13.262562
2358022227591374336,142.6648204158279,-80.47350701746134,102.28274631661318,9.776820001533101,1.1534077,12.697248
2358524597030794112,149.72409200140982,-78.75488336509207,269.05730465038937,3.71668036033956,1.0011495,10.436525
2467732906559754496,159.6303860424266,-64.65274361573327,94.71129648160505,10.55840261033932,1.533364,12.701375
2679694971455927296,56.47202947722871,-41.224768531781756,74.22008018316177,13.473442733181916,1.2544863,13.014442
2868199402451064064,105.97658951258543,-29.78289124969659,77.48365141379048,12.905948309787847,1.2646662,12.798845
2886233695250041216,240.94203653930066,-23.989027400186902,115.39816465618533,8.665649085315847,1.1759074,11.112143
2944727125434832768,223.86722738508794,-15.275321362772221,77.5357015014493,12.897284484893815,1.0292135,12.255983
3143635723866162432,214.85387794982643,15.958329923676983,67.62125670948608,14.788249267478012,1.1668386,13.14167
3187115498866675456,206.43156845476716,-27.474529957956214,186.04662779359126,5.374996643902874,1.1008298,10.649305
3310083401849536384,181.74658609694805,-19.718659272174666,83.99483372701643,11.90549413134151,1.1098962,13.54909
3496355755520065408,299.6772964822021,35.8263530046131,91.11268228893773,10.975420488980742,1.1914544,13.392563
3560746351897773952,275.6727865370926,43.61926298901767,86.9000482194625,11.507473476591647,1.9028686,12.562663
3746973763029907328,353.351142547478,77.99870273915872,66.83138578248342,14.963029545050988,2.0854156,13.197576
