gaiadr3.hipparcos2_best_neighbour.original_ext_source_id,gaiadr3.hipparcos2_best_neighbour.SOURCE_ID
895,2860321298558413184
896,2767918272640440320
897,2443632711191439104
904,2429685131315155072
914,2316351389733605504
920,2848979080203597312
924,4976675435913503360
929,4918156059829697024
931,2445344582076017408
934,4919232000676748928
941,4689717641393300608
943,2753496425295794944
947,2427998446118479360
952,2859795732000514688
953,2310321736686340864
955,2366559042027879552
960,2364934307439276416
976,2431194966938166400
985,2321532082365641216
991,4996297835818989824
996,2798490743207080448
1003,2319816363189763456
1016,4906067685396353408
1022,2741388397092532864
1028,2319419095894506624
1029,4978254506411363072
1044,4990906895948872704
1045,2335983719603153152
1051,2798476277756937216
1052,573442631542279808
1058,4995068341300822144
1072,2364618266565627008
1078,2797598283362162944
1085,4996401292991097600
1094,2321309981016471296
1114,4919323706818414208
1119,2427612444524704256
1121,2546372108482847360
1140,4922906809055232640
1147,2364534463163758208
1154,2323120842307844096
1166,2319614259208531328
1173,4996442863979758080
1174,2755474034397049088
1184,429740825487284096
1188,2849165859741128832
1203,2316066341343968512
1206,4703402747226471936
1224,419220251558047616
1251,2323253986293654912
1258,4706787074081349248
1266,2428524528072046464
1275,2361136766075589504
1281,4701923006439185280
1290,2322854657414397952
1291,421460918812474880
1297,2876234667786279424
1300,537181803212677248
1304,2365285463965480448
1305,2309166802800781952
1313,4919924796081326208
1322,4973763482448692096
1334,2800115065478177408
1335,383791238121643648
1350,2430958606297665280
1358,2800245666843767040
1374,2365511237510830464
1375,4904887222224911488
1382,4991747403868417792
1385,2545576955417981056
1389,2797356528243572864
1394,4707581436873068928
1398,4978214850976227456
1400,386091996265106944
1404,4703034376472354688
1408,4924486979064313984
1411,379440642408391424
1420,2541168600983776128
1430,4974071345705127808
1442,380363751139926016
1444,2423292879948720000
1453,2323165784845308416
1463,2752746111688997248
1467,2315228857080891392
1468,2797517675415860864
1478,394387437840826496
1491,4997109103601463808
1499,2430102808294101760
1500,2320142918142898560
1509,2424980458498187520
1518,4906463509582409600
1532,2428162410789155328
1534,2793827233356854656
1536,4706527593633049856
1541,2756048391783447424
1552,4997135212707054464
1563,2768072032469656448
1565,2367062790151955712
1567,4923403032397128576
1572,4703152367813921664
1582,4905272257453133824
1599,4900108950849461248
1608,2367938722962185088
1612,2754348581167069056
1613,4919954517254988032
1620,2752457146289027328
1634,380502323964518528
1636,4998828598052785536
1654,2368668970481884032
1666,2362099457224379136
1668,2320174597821925504
1672,4707945551316063232
1673,431040413872462720
1674,528767648745379200
1680,2860525013151255552
1683,4906478112471181568
1685,2323611155774093568
1696,4978671015158662528
1704,2857100313604317952
1712,2314872374795551232
1716,378743345877390592
1718,2368429964142263424
1719,4707574844098893696
1723,4977562535642409728
1729,2360394217769770240
1731,2360212592193014528
1734,2316867885320845696
1736,2793543245823732480
1745,2323843358886071168
1758,4992238610687800320
1761,4990806050116849024
1773,527474627367630208
1775,4906432070421717376
1776,4900786868486875648
1779,4688756084117388544
1780,2754482618506108416
1788,4978419845471322752
1793,4996977162206140288
1797,4996879683628451840
1813,2800690281858225408
1820,4990738086554276864
1825,2540263874713421696
1833,382233951699297536
1841,2543792001369200640
1842,4972971284318252160
1846,428885852117226752
1853,2862476165254311552
1866,2540245938930012288
1868,2347873185511005696
1871,382627439423335808
1881,2360364393516936320
1885,4998678274197780864
1890,4998469474363116672
1893,2374903235770145152
1899,2367099933028482304
1911,4996793509404560128
1914,4685025372442649344
1917,2528054794519305856
1919,2793971166300878208
1923,564203400974360832
1932,529548306300083456
1933,2347808554843141888
1936,2322574488107786624
1937,4635564769579703936
1940,2321869868657451520
1950,2368552456609447168
1953,4688399704914350464
1954,4923433303326992384
1968,2800942207459771136
1977,4972714995032510592
1980,2858973159863490944
1985,4708242419455686016
1986,2316687496694413440
1992,4992271252439710464
2000,2754825627478534272
2002,2799157970670537088
2015,2792402403726114944
2021,4683897617110115200
2031,2315505556054204416
2039,2747848234063552000
2042,2426655495743613568
2049,2321867364692253312
2052,2548736127203032832
2056,4919774884543080704
2057,2543812479773352576
2064,378460320416415616
2068,2794182856648909952
2083,2747402794414929280
2091,4998610005693073920
2097,419001964135258624
2102,2859009581186224000
2111,4706833429664367744
2114,4997384531264548864
2120,530158019855216896
2129,2793345819062539136
2131,428545480243282176
2137,4702410403623889664
2141,2318735367165096320
2148,4688518623971268480
2156,2555213861300995328
2157,2318250864789953408
2174,2855866348024648320
2175,2315036614344839296
2186,4689648303457219072
2196,2367329971477776128
2204,419402358168613888
2214,4702679887051613312
2230,4974303067780291584
2231,2856373914375546624
2233,4980274584148600320
2242,2540729036852186752
2246,2424031305085762688
2247,2367734656180397952
2254,5004627873349957120
2282,4974305438602182272
2284,4980181778495175296
2292,2526899001640197248
2294,5005570807649900160
2303,5004844786378380544
2305,381720651567177984
2311,2425541965342465664
2313,2779107074763343232
2314,2807114212903803904
2316,2795677848865319808
2318,5004842999671986688
2326,2858900759599771648
2334,2315475456923499648
2336,379029768656427776
2338,4992382577991722496
2350,2526925389919277056
2352,539500845033119232
2360,2807093459621159680
2364,418086483269878144
2373,2747982267107621760
2375,2319183766047059072
2376,4975693228435271680
2386,2373709612818954880
2416,4918966125021185792
2417,4993633165093375104
2426,537767121355864448
2429,365106240596798976
2434,382467563560103424
2445,4703458787960558208
2461,2362448174210105216
2482,2528296583999146240
2483,2425472764829430144
2492,2544065470527340160
